objectnummer,titel,probleem_bucket,geografisch_trefwoord,geo_detail_termen,geo_detail_sources,geo_detail_broader_terms
RP-F-1994-16-17,Groepsportret van onbekende Surinamers in de Gouvernementstuin te Paramaribo,mixed-no-coords,Paramaribo (stad),Paramaribo (stad),edit,Paramaribo (district)
RP-F-1994-16-18,"Marrondorp in Cottica, Suriname",mixed-no-coords,Cottica,Cottica,edit,Suriname (Zuid-Amerika)
RP-F-1994-16-20,"Groepsportret van drie onbekende Caraïben-vrouwen en een kind, Paramaribo",mixed-no-coords,Paramaribo (stad),Paramaribo (stad),edit,Paramaribo (district)
RP-F-F01202,Fotoalbum van een onbekende Nederlandse familie met connecties in Suriname en Nederlands-Indië (1),mixed-no-coords,Nederland | Suriname (Zuid-Amerika) | Nederlands-Indië,Nederland | Suriname (Zuid-Amerika) | Nederlands-Indië,edit | edit | edit," | Zuid-Amerika | "
RP-F-F01203,"Fotoalbum van een onbekende Nederlandse familie met opnames van Suriname, Europa en Nederlands-Indië",mixed-no-coords,Nederlands-Indië | Europa | Madeira,Nederlands-Indië | Europa | Madeira,unresolved | edit | unresolved," |  | "
RP-F-F01204,Fotoalbum van een onbekende Nederlandse familie met connecties in Suriname en Nederlands-Indië (2).,mixed-no-coords,Nederland | Suriname (Zuid-Amerika) | Nice | Biarritz | Donostia-San Sebastián | Lugano | Wiesbaden | Melk,Nederland | Suriname (Zuid-Amerika) | Nice | Biarritz | Donostia-San Sebastián | Lugano | Wiesbaden | Melk,edit | edit | edit | edit | edit | edit | edit | edit," | Zuid-Amerika |  |  |  |  |  | "
RP-F-F01154,"Fotoalbum met opnames van bezienswaardigheden in Europa, Trinidad, Haïti, Martinique en Suriname",mixed-no-coords,Duitsland | Zwitserland | Frankrijk | Noorwegen | Trinidad (Trinidad en Tobago) | Haïti | Martinique | Suriname (Zuid-Amerika),Duitsland | Zwitserland | Frankrijk | Noorwegen | Trinidad (Trinidad en Tobago) | Haïti | Martinique | Suriname (Zuid-Amerika),edit | edit | edit | edit | edit | edit | edit | edit," |  |  |  |  |  |  | Zuid-Amerika"
RP-T-1994-281-19,Jonge vrouw in koto,mixed-no-coords,europees-locaal kostuum,europees-locaal kostuum,edit,
NG-1035-A,"Stoomschip ""Nederland""- naar Suriname.",mixed-no-coords,Nederland | Indië,Nederland | Indië,unresolved | edit," | "
NG-1979-565-30,Miss Black verkiezing 1978,mixed-no-coords,Amsterdam,Amsterdam,edit,
NG-1979-565-31,10-jarig bestaan van stichting BEST,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-32,Boottocht met muziek van Happy Boys,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-33,Feestavond,mixed-no-coords,Vlissingen | Suriname (Zuid-Amerika),Vlissingen | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-36,Het einde van de Ramadan,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-37,Het einde van de Ramadan,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-38,Surinaamse moslims bij het einde van de Ramadan,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-39,Het einde van de Ramadan,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-40,Het einde van de Ramadan,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-41,Inwijding nieuwe flat,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-42,Het einde van de Ramadan,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-565-43,Het einde van de Ramadan,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-4,Wassing overleden Surinaamse Javaanse,mixed-no-coords,Sint-Michielsgestel | Suriname (Zuid-Amerika),Sint-Michielsgestel | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-5,Aankleden Surinaamse Javaanse overledene,mixed-no-coords,Sint-Michielsgestel | Suriname (Zuid-Amerika),Sint-Michielsgestel | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-6,Gebedsdienst voor overledene,mixed-no-coords,Sint-Michielsgestel | Suriname (Zuid-Amerika),Sint-Michielsgestel | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-7,Begrafenis van Surinaamse Javaanse,mixed-no-coords,Sint-Michielsgestel | Suriname (Zuid-Amerika),Sint-Michielsgestel | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-8,Begrafenis van Surinaamse Javaanse,mixed-no-coords,Sint-Michielsgestel | Suriname (Zuid-Amerika),Sint-Michielsgestel | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-9,Begrafenis van Surinaamse Javaanse,mixed-no-coords,Sint-Michielsgestel | Suriname (Zuid-Amerika),Sint-Michielsgestel | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-10,Huize Beekvliet,mixed-no-coords,Sint-Michielsgestel | Suriname (Zuid-Amerika),Sint-Michielsgestel | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-11,Huize Beekvliet,mixed-no-coords,Sint-Michielsgestel | Suriname (Zuid-Amerika),Sint-Michielsgestel | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-14,"Eind van de Ramadan, Idul Fi'tre feest",mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-15,Holifeest: Nieuwjaarsfeest van Hindoes,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-16,Holifeest: Nieuwjaarsfeest van Hindoes,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-17,Holifeest: Nieuwjaarsfeest van Hindoes,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-18,Geboortefeest van Mohammed,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-19,Geboortefeest van Mohammed,mixed-no-coords,Amsterdam | Suriname (Zuid-Amerika),Amsterdam | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-20,Hindostaans huwelijk: de dag van de Bhatwan,mixed-no-coords,Den Haag | Suriname (Zuid-Amerika),Den Haag | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-21,Offeraarde voor Hindostaans huwelijk,mixed-no-coords,Den Haag | Suriname (Zuid-Amerika),Den Haag | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-22,Aankomst Hindostaanse bruidegom,mixed-no-coords,Rijswijk (Zuid-Holland) | Suriname (Zuid-Amerika),Rijswijk (Zuid-Holland) | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-23,Hindostaans huwelijk: de dag van de Bhatwan,mixed-no-coords,Den Haag | Suriname (Zuid-Amerika),Den Haag | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-24,Hindostaans huwelijk,mixed-no-coords,Rijswijk (Zuid-Holland) | Suriname (Zuid-Amerika),Rijswijk (Zuid-Holland) | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-25,Hindostaans huwelijk,mixed-no-coords,Rijswijk (Zuid-Holland) | Suriname (Zuid-Amerika),Rijswijk (Zuid-Holland) | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
NG-1979-566-26,Hindostaans huwelijk,mixed-no-coords,Den Haag | Suriname (Zuid-Amerika),Den Haag | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
