objectnummer,titel,map_ready_termen,regio
RP-F-2016-47-44,Coppenamepunt. 1977,Suriname (Zuid-Amerika),suriname
RP-F-2016-47-45,"Coppenamepunt, het veer. 1977",Suriname (Zuid-Amerika),suriname
RP-F-2016-47-46,Paramaribo. 1975,Paramaribo (stad),suriname
RP-F-2016-47-87,"Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2008-5-2,Ovalen portretminiatuur van Mattheus Sigismundis Schuster (1757-1826),Suriname (Zuid-Amerika),suriname
NG-2008-5-1,Houten foedraal voor portretmedaillon,Suriname (Zuid-Amerika),suriname
RP-F-2016-47-96,'s-Lands Weldadigheidsgesticht,Paramaribo (stad),suriname
RP-F-2016-47-97,"Paramaribo, 's-Lands Weldadigheidsgesticht. 1975",Paramaribo (stad),suriname
NG-2016-50,Album met 68 prentbriefkaarten  'Als aandenken aan Suriname',Suriname (Zuid-Amerika),suriname
NG-2016-50-1,Wapen van Suriname,Suriname (Zuid-Amerika),suriname
NG-2016-50-2,Portret van Surinaamse vrouw,Suriname (Zuid-Amerika),suriname
NG-2016-50-3,Kankantrie- of kapokbomen,Suriname (Zuid-Amerika),suriname
NG-2016-50-5,"Onthulling van het monument te ere van Titus Asch van Wijck, 1904",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2016-50-8,Bekendmaking door slagerij,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2016-50-9,Het Postkantoor te Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2016-50-10,Begrafenis te Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2016-50-11,Staande vrouw in koto,Suriname (Zuid-Amerika),suriname
NG-2016-50-12,Portret van Eunoobia,Suriname (Zuid-Amerika),suriname
NG-2016-50-15,Staande vrouw in koto,Suriname (Zuid-Amerika),suriname
NG-2016-50-16,Blinde bedelaar met zijn begeleider,Suriname (Zuid-Amerika),suriname
NG-2016-50-17,Zittende vrouw in feestelijke kleding,Suriname (Zuid-Amerika),suriname
NG-2016-50-19,Rede te Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2016-50-20,Bruiloftsoptocht door Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2016-50-22,Kinderen van een Surinaamse familie,Suriname (Zuid-Amerika),suriname
NG-2016-50-23,Javaanse immigranten,Suriname (Zuid-Amerika),suriname
NG-2016-50-24,Feestelijk versierde gasfabriek,Suriname (Zuid-Amerika),suriname
NG-2016-50-27,Vijf Surinaamse vrouwen,Suriname (Zuid-Amerika),suriname
NG-2016-50-28,Granman en andere gezagsdragers,Suriname (Zuid-Amerika),suriname
NG-2016-50-29,Surinaamse vrouw,Suriname (Zuid-Amerika),suriname
NG-2016-50-30,Zittende vrouw met bananen,Suriname (Zuid-Amerika),suriname
NG-2016-50-35,Staande vrouw,Suriname (Zuid-Amerika),suriname
NG-2016-50-36,Vrouwen met trossen bananen,Suriname (Zuid-Amerika),suriname
NG-2016-50-37,Portret van Sakoonath,Suriname (Zuid-Amerika),suriname
NG-2016-50-40,Loods van de Koninklijke West-Indische Maildienst,Paramaribo (stad),suriname
NG-2016-50-41,Rooms-katholieke pastorie te Paramaribo,Paramaribo (stad),suriname
NG-2016-50-42,Synagoge Neve Shalom,Paramaribo (stad),suriname
NG-2016-50-44,Portret van Paulus Lijkwan en zijn vrouw Elisabeth Lith,Suriname (Zuid-Amerika),suriname
NG-2016-50-45,Mensen van Javaanse oorsprong,Suriname (Zuid-Amerika),suriname
NG-2016-50-50,Bananenbomen,Suriname (Zuid-Amerika),suriname
NG-2016-50-52,Staande vrouw in koto,Suriname (Zuid-Amerika),suriname
NG-2016-50-53,Surinaamse vrouwen in koto,Suriname (Zuid-Amerika),suriname
NG-2016-50-54,Surinaams meisje,Suriname (Zuid-Amerika),suriname
NG-2016-50-55,Jonge Surinaamse vrouw met een fles op het hoofd,Suriname (Zuid-Amerika),suriname
NG-2016-50-62,Surinaamse jongen met ezel,Suriname (Zuid-Amerika),suriname
NG-2016-50-63,Portret van een doodgraver,Suriname (Zuid-Amerika),suriname
NG-2016-50-64,Groepsportret,Suriname (Zuid-Amerika),suriname
NG-2016-50-65,Tadja-feest,Suriname (Zuid-Amerika),suriname
NG-2016-50-67,Groepje jonge Surinaamse vrouwen,Suriname (Zuid-Amerika),suriname
NG-2016-53-1,Vrouw op strand met kind op rug,Suriname (Zuid-Amerika),suriname
NG-2016-53-2,Meisje met hoofddoek,Suriname (Zuid-Amerika),suriname
NG-2016-53-3,Jongen met kerven in gezicht,Suriname (Zuid-Amerika),suriname
NG-2016-53-4,Oude vrouw,Suriname (Zuid-Amerika),suriname
NG-2016-53-5,Jongen op het strand,Suriname (Zuid-Amerika),suriname
NG-2016-53-6,Oma Jaja,Suriname (Zuid-Amerika),suriname
NG-2016-53-7,Meisje met geel hemd,Suriname (Zuid-Amerika),suriname
NG-2016-53-8,Man met gele beker,Suriname (Zuid-Amerika),suriname
NG-2016-53-9,Loes met baby,Suriname (Zuid-Amerika),suriname
NG-2016-53-11,Meisje met oorbellen,Suriname (Zuid-Amerika),suriname
NG-2016-53-12,Jongen met spijkerboek en slippers,Suriname (Zuid-Amerika),suriname
NG-2016-53-13,Meisje met rood hemd,Suriname (Zuid-Amerika),suriname
NG-2016-53-15,Zandweg met links en rechts huizen,Suriname (Zuid-Amerika),suriname
NG-2016-53-10,Vrouw van de Hernhutter gemeenschap,Suriname (Zuid-Amerika),suriname
