objectnummer,titel,geografisch_trefwoord,qid
RP-F-2009-226,"Mariënburg, Bejaardentehuis, 1975",Suriname (Zuid-Amerika),
NG-2009-124,Fotoalbum van familie Boom-Gonggrijp in Suriname en Curaçao,Suriname (Zuid-Amerika)$Curaçao$Paramaribo (stad),
NG-2009-125,Fotoalbum familie Gonggrijp op de plantages Clevia en Morgenstond in Suriname,Suriname (Zuid-Amerika)$Plantage Clevia$Plantage Morgenstond,
NG-2009-126,Fotoalbum van de jeugd van Maria Gonggrijp in Suriname,Suriname (Zuid-Amerika)$Plantage Nijd en Spijt$Plantage Morgenstond,
NG-2009-127,Fotoalbum van elf losse bladen over de familie Gonggrijp in Suriname,Suriname (Zuid-Amerika)$Plantage Clevia$Plantage Alliance$Albina$Saint-Laurent-du-Maroni,
NG-2009-128,Fotoalbum over het leven van de familie Gonggrijp in Suriname rond 1912,Suriname (Zuid-Amerika)$Paramaribo (stad)$Plantage Clevia$Plantage Morgenstond,
NG-2009-129,Lloyd fotoalbum van de familie Gonggrijp in Suriname,Suriname (Zuid-Amerika)$Plantage Mariënburg$Plantage Morgenstond,
NG-2009-130-1,Het Gouvernementsplein in Paramaribo met centraal het Departement van Financiën,Paramaribo (stad)$Gouvernementsplein,
NG-2009-130-2,Oranjestraat in Paramaribo en de Surinamerivier,Paramaribo (stad)$Oranjestraat$Surinamerivier,
NG-2009-130-3,Gravenstraat in Paramaribo met de Sint Petrus en Paulus Kathedraal,Paramaribo (stad)$Gravenstraat (Paramaribo)$Sint-Petrus-en-Pauluskathedraal,
NG-2009-130-4,Verkleed gezelschap poseert in een tuin,Suriname (Zuid-Amerika),
NG-2009-130-5,Groepsfoto van een verkleed gezelschap,Paramaribo (stad),
NG-2009-130-6,Volksspelen op Koninginnedag op het Gouvernementsplein,Paramaribo (stad)$Gouvernementspaleis$Gouvernementsplein,
NG-2009-130-7,Officiële plechtigheid op het Gouvernementsplein,Paramaribo (stad)$Gouvernementsplein,
NG-2009-130-8,Het laatste saluut aan gouverneur Cornelis Lely bij zijn afscheid als gouverneur van Suriname (1902-1905),Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-2009-130-9,Twee mannen staan op de trap van vermoedelijk de plantagewoning Morgenstond,Suriname (Zuid-Amerika)$Plantage Morgenstond,
NG-2009-125-1,Woningen op plantage Clevia,Suriname (Zuid-Amerika)$Plantage Clevia,
NG-2009-126-15,Twee vrouwen proosten op Koninginnedag aan boord van een schip,Suriname (Zuid-Amerika)$Plantage Nijd en Spijt$Plantage Morgenstond,
NG-2009-131,Aanleg van de Lawaspoorweg in Suriname,Suriname (Zuid-Amerika),
NG-2009-132-1,Portret van Jacob Evert Wesenhagen en Jan Palthe Wesenhagen,Suriname (Zuid-Amerika),
NG-2009-133-1,"Familie Wesenhagen voor hun woonhuis te Coronie, Suriname",Coronie,
NG-2009-132-2,Portret van Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),
NG-2009-132-3,Portret van Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),
NG-2009-132-4,"Portret van August Kappler, stichter van de stad Albina in Suriname",Suriname (Zuid-Amerika)$Albina,
NG-2009-132-5,Portret van vermoedelijk Jacqueline Frederika Robles,Suriname (Zuid-Amerika),
NG-2009-132-6,Groepsportret van de Familie Wesenhagen-Loth in Den Haag,Suriname (Zuid-Amerika)$Den Haag,
NG-2009-132-7,Jacob Evert Wesenhagen met dochter Frida en zoon Wilhelm,Suriname (Zuid-Amerika),
NG-2009-132-8,Portret van Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),
NG-2009-132-9,Interieur van de dienstwoning van geneesheer Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),
NG-2009-132-10,Woning van de geneesheer Wesenhagen in Paramaribo,Suriname (Zuid-Amerika)$Paramaribo (stad),
