recordnummer;term;match_wiki;Qids;broader_term;wikidata;PID_overige.URI;PID_overige.URI2;PID_overige.URI3;wiki_id;wiki_id_broader;wiki_id_query;coords
561431;Maagdenstraat;Maagdenstraat;http://www.wikidata.org/entity/Q107435475;Paramaribo (stad);http://www.wikidata.org/entity/Q107435475;;;;Q107435475;;wd:Q107435475;Point(-55.1602174 5.8249814)
573923;Maarten Lutherkerk (Paramaribo);;;Paramaribo (stad);http://www.wikidata.org/entity/Q39337028;http://www.wikidata.org/entity/Q39337028;;;Q39337028;;wd:Q39337028;Point(-55.159527777 5.823694444)
105865;Marawijne;Marowijne District;http://www.wikidata.org/entity/Q1140897;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1140897;;;;Q1140897;;wd:Q1140897;Point(-54.324722222 5.770555555)
93088;Mariënburg (Suriname);;;Commewijne;http://www.wikidata.org/entity/Q908006;https://sws.geonames.org/3383570/;http://www.wikidata.org/entity/Q908006;;Q908006;;wd:Q908006;Point(-55.048055555 5.873611111)
567343;Maripaston;Maripaston;http://www.wikidata.org/entity/Q104531588;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q104531588;;;;Q104531588;;wd:Q104531588;Point(-55.43 5.260555555)
99557;Marowijne;Marowijne District;http://www.wikidata.org/entity/Q1140897;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1140897;http://vocab.getty.edu/tgn/7005638;;;Q1140897;;wd:Q1140897;Point(-54.324722222 5.770555555)
567484;Meerzorg;Meerzorg;http://www.wikidata.org/entity/Q1018882;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1018882;;;;Q1018882;;wd:Q1018882;Point(-55.146944444 5.807222222)
103875;Miendrienetie Kreek;Miendrienetie Kreek;;Suriname (Zuid-Amerika);;;;;;Q730;wd:Q730;Point(-56.0 4.0)
99559;Moengo;Moengo;http://www.wikidata.org/entity/Q24226;Marowijne;http://www.wikidata.org/entity/Q24226;http://vocab.getty.edu/tgn/1024830;;;Q24226;;wd:Q24226;Point(-54.4 5.616666666)
103405;Montana Mijn;Montana Mijn;;Paramaribo (stad);;;;;;Q3001;wd:Q3001;Point(-55.166666666 5.866666666)
103406;Montana Mine;Montana Mine;;Paramaribo (stad);;;;;;Q3001;wd:Q3001;Point(-55.166666666 5.866666666)
26125;Nickerie;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1147515;http://vocab.getty.edu/tgn/1000907;http://www.wikidata.org/entity/Q1147515;;Q1147515;;wd:Q1147515;Point(-56.870277777 5.767222222)
556918;Nieuw-Aurora;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q77850298;http://www.wikidata.org/entity/Q77850298;;;Q77850298;;wd:Q77850298;Point(-55.400555555 4.373888888)
573906;Nieuwe Oranjetuin (begraafplaats);;;Paramaribo (stad);http://www.wikidata.org/entity/Q56613111;http://www.wikidata.org/entity/Q56613111;;;Q56613111;;wd:Q56613111;Point(-55.160583 5.831)
103535;Nieuw-Nickerie;;;Nickerie;http://www.wikidata.org/entity/Q738313;http://www.wikidata.org/entity/Q738313;http://vocab.getty.edu/tgn/1024832;https://sws.geonames.org/3383427/;Q738313;;wd:Q738313;Point(-56.973055555 5.926111111)
103863;Noorderkerkstraat;Noorderkerkstraat;http://www.wikidata.org/entity/Q110189289;Paramaribo (stad);http://www.wikidata.org/entity/Q110189289;;;;Q110189289;;wd:Q110189289;Point(-55.1547075 5.8280821)
560562;Onafhankelijkheidsplein;;;Paramaribo (stad);http://www.wikidata.org/entity/Q2033540;http://www.wikidata.org/entity/Q2033540;;;Q2033540;;wd:Q2033540;Point(-55.15152 5.82623)
105862;Onoribo;Onoribo (Parakreek);http://www.wikidata.org/entity/Q124831720;Para;http://www.wikidata.org/entity/Q124831720;;;;Q124831720;;wd:Q124831720;Point(-55.1641107 5.571329733)
560554;Oranjeplein (Paramaribo);;;Paramaribo (stad);http://www.wikidata.org/entity/Q2033540;http://www.wikidata.org/entity/Q2033540;;;Q2033540;;wd:Q2033540;Point(-55.15152 5.82623)
103410;Oranjestraat;Mr. Dr. J.C. de Mirandastraat;http://www.wikidata.org/entity/Q107435464;Paramaribo (stad);http://www.wikidata.org/entity/Q107435464;;;;Q107435464;;wd:Q107435464;Point(-55.15266 5.82626)
103400;Palmentuin;Garden of Palms;http://www.wikidata.org/entity/Q2220000;Paramaribo (stad);http://www.wikidata.org/entity/Q2220000;;;;Q2220000;;wd:Q2220000;Point(-55.15 5.828055555)
105863;Para;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1140891;http://vocab.getty.edu/tgn/1000920;http://www.wikidata.org/entity/Q1140891;;Q1140891;;wd:Q1140891;Point(-55.336944444 5.433611111)
105866;Paramaribo (district);;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q3001;http://vocab.getty.edu/tgn/7002584;http://www.wikidata.org/entity/Q3001;;Q3001;;wd:Q3001;Point(-55.166666666 5.866666666)
51489;Paramaribo (stad);;;Paramaribo (district);http://www.wikidata.org/entity/Q3001;http://vocab.getty.edu/tgn/7015387;http://www.wikidata.org/entity/Q3001;;Q3001;;wd:Q3001;Point(-55.166666666 5.866666666)
107571;Paranam;Paranam;http://www.wikidata.org/entity/Q953057;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q953057;http://vocab.getty.edu/tgn/1024835;;;Q953057;;wd:Q953057;Point(-55.09 5.607222222)
103418;Patrick Savanna;Patrick Savanna;;Suriname (Zuid-Amerika);;;;;;Q730;wd:Q730;Point(-56.0 4.0)
574117;Pierrekondre;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q111812569;http://www.wikidata.org/entity/Q111812569;;;Q111812569;;wd:Q111812569;Point(-54.046944444 5.516666666)
148703;Pikin Slee;;;Boven-Suriname;http://www.wikidata.org/entity/Q83756034;http://www.wikidata.org/entity/Q83756034;;;Q83756034;;wd:Q83756034;Point(-55.443888888 4.253333333)
102453;Plantage Accaribo;Accaribo;http://www.wikidata.org/entity/Q25703530;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q25703530;;;;Q25703530;;wd:Q25703530;Point(-55.085277777 5.629722222)
111011;Plantage Alliance;Alliance;http://www.wikidata.org/entity/Q137472412;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q137472412;;;;Q137472412;;wd:Q137472412;Point(-54.881400912 5.898640998)
556466;Plantage Berg en Dal;Berg en Dal;http://www.wikidata.org/entity/Q819296;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q819296;;;;Q819296;;wd:Q819296;Point(-55.067222222 5.139166666)
559586;Plantage Brouwerslust;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2638795;http://www.wikidata.org/entity/Q2638795;;;Q2638795;;wd:Q2638795;Point(-54.996006873 5.890673923)
119539;Plantage Caledonia;Caledonia;http://www.wikidata.org/entity/Q59115352;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59115352;;;;Q59115352;;wd:Q59115352;Point(-55.806048094 5.836318741)
103877;Plantage Clevia;Clevia;http://www.wikidata.org/entity/Q15873942;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q15873942;;;;Q15873942;;wd:Q15873942;Point(-55.109231723 5.870336608)
