

recordnummer,objectnummer,PID_overige.URI,wikidata_url,wikimedia_url
241221,RP-F-1994-12-26,http://hdl.handle.net/10934/RM0001.COLLECT.241221,,"https://commons.wikimedia.org/wiki/File:Portret_van_Marioetari,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-26.jpg"
241222,RP-F-1994-12-27,http://hdl.handle.net/10934/RM0001.COLLECT.241222,,"https://commons.wikimedia.org/wiki/File:Portret_van_Marioetari,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-27.jpg"
241224,RP-F-1994-12-28,http://hdl.handle.net/10934/RM0001.COLLECT.241224,,"https://commons.wikimedia.org/wiki/File:Portret_van_Elisabeth_Moendi,_en_face_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-28.jpg"
241226,RP-F-1994-12-29,http://hdl.handle.net/10934/RM0001.COLLECT.241226,,"https://commons.wikimedia.org/wiki/File:Portret_van_Elisabeth_Moendi,_en_profil_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-29.jpg"
241227,RP-F-1994-12-30,http://hdl.handle.net/10934/RM0001.COLLECT.241227,,"https://commons.wikimedia.org/wiki/File:Portret_van_Henriette_Moendi_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-30.jpg"
241228,RP-F-1994-12-31,http://hdl.handle.net/10934/RM0001.COLLECT.241228,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johan_Hi-A-Lé,_en_face_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-31.jpg"
241229,RP-F-1994-12-32,http://hdl.handle.net/10934/RM0001.COLLECT.241229,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johan_Hi-A-Lé,_en_profil_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-32.jpg"
241231,RP-F-1994-12-33,http://hdl.handle.net/10934/RM0001.COLLECT.241231,,"https://commons.wikimedia.org/wiki/File:Interieur_van_een_hut_op_de_Koloniale_tentoonstelling,_Amsterdam_1883_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-33.jpg"
241232,RP-F-1994-12-34,http://hdl.handle.net/10934/RM0001.COLLECT.241232,,"https://commons.wikimedia.org/wiki/File:Kano_en_hut_op_de_Koloniale_tentoonstelling,_Amsterdam_1883_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-34.jpg"
241233,RP-F-1994-12-35,http://hdl.handle.net/10934/RM0001.COLLECT.241233,,"https://commons.wikimedia.org/wiki/File:Tambours_et_canots_des_Nègres_des_Bois,_1883.jpg"
241235,RP-F-1994-12-36,http://hdl.handle.net/10934/RM0001.COLLECT.241235,,"https://commons.wikimedia.org/wiki/File:Portret_van_Kwamina_Baja,_en_face_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-36.jpg"
241238,RP-F-1994-12-37,http://hdl.handle.net/10934/RM0001.COLLECT.241238,,
241239,RP-F-1994-12-38,http://hdl.handle.net/10934/RM0001.COLLECT.241239,,"https://commons.wikimedia.org/wiki/File:Portret_van_Kwamina_A-Pé-Sé,_en_face_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-38.jpg"
241240,RP-F-1994-12-39,http://hdl.handle.net/10934/RM0001.COLLECT.241240,,"https://commons.wikimedia.org/wiki/File:Portret_van_Kwamina_A-Pé-Sé,_en_profil_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-39.jpg"
